date,base_u_rate,1m_u_rate_pct_change,1yr_u_rate_pct_diff
1981-12-01,8.5,2.409638554216853,18.055555555555557
1982-01-01,8.6,1.17647058823529,14.666666666666671
1982-02-01,8.9,3.488372093023262,20.270270270270263
1982-03-01,9.0,1.1235955056179803,21.62162162162162
1982-04-01,9.3,3.3333333333333437,29.166666666666675
1982-05-01,9.4,1.0752688172043001,25.333333333333343
1982-06-01,9.6,2.127659574468077,28.000000000000004
1982-07-01,9.8,2.083333333333348,36.111111111111114
1982-08-01,9.8,0.0,32.432432432432435
1982-09-01,10.1,3.0612244897959107,32.89473684210527
1982-10-01,10.4,2.970297029702973,31.645569620253156
1982-11-01,10.8,3.8461538461538547,30.12048192771084
1982-12-01,10.8,0.0,27.05882352941178
1983-01-01,10.4,-3.703703703703709,20.93023255813955
1983-02-01,10.4,0.0,16.85393258426966
1983-03-01,10.3,-0.9615384615384581,14.44444444444446
1983-04-01,10.2,-0.9708737864077777,9.677419354838701
1983-05-01,10.1,-0.9803921568627416,7.446808510638281
1983-06-01,10.1,0.0,5.208333333333326
1983-07-01,9.4,-6.930693069306926,-4.081632653061229
1983-08-01,9.5,1.0638297872340496,-3.0612244897959218
1983-09-01,9.2,-3.157894736842115,-8.910891089108919
1983-10-01,8.8,-4.347826086956507,-15.384615384615385
1983-11-01,8.5,-3.409090909090917,-21.2962962962963
1983-12-01,8.3,-2.35294117647058,-23.148148148148152
1984-01-01,8.0,-3.614457831325313,-23.076923076923084
1984-02-01,7.8,-2.500000000000002,-25.0
1984-03-01,7.8,0.0,-24.271844660194187
1984-04-01,7.7,-1.2820512820512775,-24.50980392156862
1984-05-01,7.4,-3.8961038961038974,-26.732673267326724
1984-06-01,7.2,-2.7027027027027084,-28.712871287128706
1984-07-01,7.5,4.166666666666674,-20.21276595744681
1984-08-01,7.5,0.0,-21.052631578947366
1984-09-01,7.3,-2.6666666666666727,-20.65217391304347
1984-10-01,7.4,1.3698630136986356,-15.909090909090917
1984-11-01,7.2,-2.7027027027027084,-15.294117647058824
1984-12-01,7.3,1.388888888888884,-12.048192771084343
1985-01-01,7.3,0.0,-8.750000000000002
1985-02-01,7.2,-1.3698630136986245,-7.692307692307687
1985-03-01,7.2,0.0,-7.692307692307687
1985-04-01,7.3,1.388888888888884,-5.1948051948051965
1985-05-01,7.2,-1.3698630136986245,-2.7027027027027084
1985-06-01,7.4,2.77777777777779,2.77777777777779
1985-07-01,7.4,0.0,-1.3333333333333308
1985-08-01,7.1,-4.054054054054069,-5.333333333333334
1985-09-01,7.1,0.0,-2.73972602739726
1985-10-01,7.1,0.0,-4.054054054054069
1985-11-01,7.0,-1.4084507042253502,-2.777777777777779
1985-12-01,7.0,0.0,-4.109589041095885
1986-01-01,6.7,-4.285714285714281,-8.21917808219178
1986-02-01,7.2,7.462686567164178,0.0
1986-03-01,7.2,0.0,0.0
1986-04-01,7.1,-1.388888888888895,-2.73972602739726
1986-05-01,7.2,1.4084507042253502,0.0
1986-06-01,7.2,0.0,-2.7027027027027084
1986-07-01,7.0,-2.777777777777779,-5.405405405405405
1986-08-01,6.9,-1.4285714285714235,-2.8169014084506894
1986-09-01,7.0,1.4492753623188248,-1.4084507042253502
1986-10-01,7.0,0.0,-1.4084507042253502
1986-11-01,6.9,-1.4285714285714235,-1.4285714285714235
1986-12-01,6.6,-4.34782608695653,-5.714285714285716
1987-01-01,6.6,0.0,-1.4925373134328401
1987-02-01,6.6,0.0,-8.333333333333337
1987-03-01,6.6,0.0,-8.333333333333337
1987-04-01,6.3,-4.545454545454541,-11.267605633802813
1987-05-01,6.3,0.0,-12.5
1987-06-01,6.2,-1.5873015873015817,-13.888888888888884
1987-07-01,6.1,-1.6129032258064613,-12.857142857142867
1987-08-01,6.0,-1.6393442622950727,-13.043478260869568
1987-09-01,5.9,-1.6666666666666607,-15.714285714285714
1987-10-01,6.0,1.6949152542372836,-14.28571428571429
1987-11-01,5.8,-3.3333333333333326,-15.94202898550725
1987-12-01,5.7,-1.724137931034475,-13.636363636363624
1988-01-01,5.7,0.0,-13.636363636363624
1988-02-01,5.7,0.0,-13.636363636363624
1988-03-01,5.7,0.0,-13.636363636363624
1988-04-01,5.4,-5.263157894736836,-14.28571428571428
1988-05-01,5.6,3.703703703703698,-11.111111111111116
1988-06-01,5.4,-3.5714285714285587,-12.903225806451612
1988-07-01,5.4,0.0,-11.475409836065564
1988-08-01,5.6,3.703703703703698,-6.666666666666677
1988-09-01,5.4,-3.5714285714285587,-8.47457627118644
1988-10-01,5.4,0.0,-9.999999999999998
1988-11-01,5.3,-1.85185185185186,-8.62068965517241
1988-12-01,5.3,0.0,-7.017543859649134
1989-01-01,5.4,1.8867924528301883,-5.263157894736836
1989-02-01,5.2,-3.703703703703709,-8.771929824561408
1989-03-01,5.0,-3.8461538461538547,-12.28070175438597
1989-04-01,5.2,4.0000000000000036,-3.703703703703709
1989-05-01,5.2,0.0,-7.142857142857128
1989-06-01,5.3,1.9230769230769162,-1.85185185185186
1989-07-01,5.2,-1.8867924528301772,-3.703703703703709
1989-08-01,5.2,0.0,-7.142857142857128
1989-09-01,5.3,1.9230769230769162,-1.85185185185186
1989-10-01,5.3,0.0,-1.85185185185186
1989-11-01,5.4,1.8867924528301883,1.8867924528301883
1989-12-01,5.4,0.0,1.8867924528301883
1990-01-01,5.4,0.0,0.0
1990-02-01,5.3,-1.85185185185186,1.9230769230769162
1990-03-01,5.2,-1.8867924528301772,4.0000000000000036
